SMILES,Name,pIC50
CCCNC(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL434960,8.244125144327509
N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ncccn2)CC1,CHEMBL1683139,6.173925197299173
N[C@H]1CN(c2cc(-c3cccc(C(F)(F)F)c3)ncn2)C[C@@H]1c1cc(F)c(F)cc1F,CHEMBL236084,7.1487416512809245
COc1cc(OC)cc(-c2nc(-c3ccc(Cl)cc3Cl)c(CN(C)C)c(N(C)C)n2)c1,CHEMBL186877,10.0
CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cc(F)cc(F)c1)NCC(=O)N1CCC[C@H]1C#N,CHEMBL472976,7.1249387366083
N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CCCCC1=O,CHEMBL1683569,7.431798275933005
CS(=O)(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,CHEMBL1683097,5.619788758288394
Cc1ccn2nc3c(c2n1)CN([C@H]1CO[C@H](c2cc(F)c(F)cc2F)[C@@H](N)C1)C3,CHEMBL3805751,9.30102999566398
CC(C)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,CHEMBL242987,8.537602002101044
COc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)cc1OC,CHEMBL433811,9.55284196865778
C[C@H](c1nc(-c2ccccc2Cl)no1)[C@H](N)C(=O)N1CCCC1,CHEMBL375414,6.00436480540245
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(Cl)c(Cl)c1,CHEMBL388433,5.801342913045577
N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(-c3ccc(=O)[nH]c3)cc12,CHEMBL5921279,6.0
CN1C(=O)CN(C(=O)C[C@H](N)[C@H]2CCc3cc(F)c(F)cc32)Cc2ccc(F)cc21,CHEMBL3580789,8.468521082957745
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,CHEMBL207912,7.130768280269024
O=C(CO)N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,CHEMBL4537702,6.66354026615147
N[C@@H](CC(=O)O)C(=O)N1CCCC1,CHEMBL499101,3.913640169325252
O=C(NC12CC3CC(CC(NCC(=O)N4Cc5cc(F)c(F)cc5C4)(C3)C1)C2)OCCOCCNc1ccc([N+](=O)[O-])c2nonc12,CHEMBL5527979,5.769551078621726
NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1Cl,CHEMBL36333,5.6020599913279625
