Name,CID,SMILES,predicted_pIC50,predicted_IC50_nM
p-Cymen-8-ol,14529,CC1=CC=C(C=C1)C(C)(C)O,5.560787521078452,2749.2388914381145
alpha-Santalene,94164,CC(=CCCC1(C2CC3C1(C3C2)C)C)C,5.555026084078968,2785.9538369568254
2-(4-Ethenyl-4-methyl-3-(prop-1-en-2-yl)cyclohexyl)propan-2-ol,547972,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,5.5527080816961,2800.8633342120575
Elemol,92138,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,5.5527080816961,2800.8633342120575
Npc49026,6429032,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,5.5527080816961,2800.8633342120575
"(1S)-7-Isopropylidene-1,2,3,3aalpha,4,5,6,7,8,8abeta-decahydro-1beta-hydroxy-1-methyl-4-methyleneazulen-6-one",14543198,CC(=C1CC2C(CCC2(C)O)C(=C)CC1=O)C,5.548504066746947,2828.107628436269
"(1E,4Z,6E)-5-hydroxy-7-[4-hydroxy-3-methoxy-5-[3-methyl-6-(6-methylhept-5-en-2-yl)cyclohex-2-en-1-yl]phenyl]-1-(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one",102230696,CC1=CC(C(CC1)C(C)CCC=C(C)C)C2=C(C(=CC(=C2)C=CC(=CC(=O)C=CC3=CC(=C(C=C3)O)OC)O)OC)O,5.541490563096004,2874.1500461317014
(+)-(S)-Dihydro-Ar-Turmerone,13970960,CC1=CC=C(C=C1)C(C)CC(=O)CC(C)C,5.529569327805052,2954.1372725388287
4-((Z)-2-(3-Methoxyphenyl)Ethenyl)Phenol,5469252,COC1=CC=CC(=C1)C=CC2=CC=C(C=C2)O,5.528477333212511,2961.5745324717122
,5809936,CC1=CC(=C(C=C1)NN=C2C(=O)C=CC3=CC=CC=C32)C,5.516932672230744,3041.3564842938626
"(1R,4S,5S)-2-methyl-5-[(2S)-6-methylhept-5-en-2-yl]cyclohex-2-ene-1,4-diol",163185226,CC1=CC(C(CC1O)C(C)CCC=C(C)C)O,5.514308376533562,3059.7900178311056
