id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,refchemids,refsids,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,LOTUS - the natural products occurrence database,Vanillin,Q33495,Vanillin,https://www.wikidata.org/wiki/Q33495,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/01483918808067200|DOI:10.1016/0021-9673(96)00103-3,https://doi.org/10.1080/01483918808067200|https://doi.org/10.1016/0021-9673(96)00103-3,,10.1080/01483918808067200|10.1016/0021-9673(96)00103-3,6510,481107850,,721480478|726610682,"Hiserodt R, Hartman TG, Ho C, Rosen RT. Characterization of powdered turmeric by liquid chromatography-mass spectrometry and gas chromatography-mass spectrometry. Journal of Chromatography A. 1996 Jul;740(1):51–63. doi: 10.1016/0021-9673(96)00103-3.|Khurana A, Ho C. High Performance Liquid Chromatographic Analysis of Curcuminoids and Their Photo-oxidative Decomposition Compounds in Curcuma Longa L. Journal of Liquid Chromatography. 1988 Sep;11(11):2295–304. doi: 10.1080/01483918808067200.",1183,136217
,Natural Product Activity and Species Source (NPASS),Vanillin,NPC203719,Vanillin,https://bidd.group/NPASS/compound.php?compoundID=NPC203719,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6510,481107850,,,,1183,136217
,Natural Product Activity and Species Source (NPASS),Camphor,NPC173996,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",https://bidd.group/NPASS/compound.php?compoundID=NPC173996,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,2537,136217
,Natural Product Activity and Species Source (NPASS),Camphor,NPC173996,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",https://bidd.group/NPASS/compound.php?compoundID=NPC173996,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,2537,136217
,LOTUS - the natural products occurrence database,Camphor,Q181559,Camphor,https://www.wikidata.org/wiki/Q181559,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1080/10412905.1997.10554259|DOI:10.1002/FFJ.1053,https://doi.org/10.1080/10412905.1997.10554259|https://doi.org/10.1002/FFJ.1053,,10.1080/10412905.1997.10554259|10.1002/FFJ.1053,6402,481107742,,646685102|666417508,"Raina VK, Srivastava SK, Jain N, Ahmad A, Syamasundar KV, Aggarwal KK. Essential oil composition of <i>Curcuma longa</i> L. cv. Roma from the plains of northern India. Flavour & Fragrance J. 2002 Jan 16;17(2):99–102. doi: 10.1002/ffj.1053.|Sirat HM, Jamil S, Rahman AA. Rhizome Oil of<i>Curcuma ochrorhiza</i>Val. Journal of Essential Oil Research. 1997 May;9(3):351–3. doi: 10.1080/10412905.1997.10554259.",2537,136217
,Natural Product Activity and Species Source (NPASS),Camphor,NPC173996,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",https://bidd.group/NPASS/compound.php?compoundID=NPC173996,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,2537,136217
,Natural Product Activity and Species Source (NPASS),"1,8-Cineole",NPC287331,Eucalyptol,https://bidd.group/NPASS/compound.php?compoundID=NPC287331,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6432,481107772,,,,2758,136217
,Natural Product Activity and Species Source (NPASS),"1,8-Cineole",NPC287331,Eucalyptol,https://bidd.group/NPASS/compound.php?compoundID=NPC287331,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6432,481107772,,,,2758,136217
,Natural Product Activity and Species Source (NPASS),"1,8-Cineole",NPC287331,Eucalyptol,https://bidd.group/NPASS/compound.php?compoundID=NPC287331,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6432,481107772,,,,2758,136217
,Natural Product Activity and Species Source (NPASS),"1,8-Cineole",NPC287331,Eucalyptol,https://bidd.group/NPASS/compound.php?compoundID=NPC287331,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,6432,481107772,,,,2758,136217
