CID,Name
5324473,"(1E,4Z,6E)-5-Hydroxy-1,7-Bis(4-Hydroxyphenyl)Hepta-1,4,6-Trien-3-One"
5324476,"(1E,4Z,6E)-1-(4-Hydroxyphenyl)-5-hydroxy-7-(3-methoxy-4-hydroxyphenyl)-1,4,6-heptatriene-3-one"
5325830,"4-Terpineol, (-)-"
5352437,"gamma-BISABOLENE, (E)-"
5352479,1-methyl-4-[(E)-6-methylhept-4-en-2-yl]benzene
5352653,(Z)-alpha-Bisabolene
5354238,Dehydrozingerone
5354499,"Caryophyllene,alpha + beta mixt."
5356544,Peruviol
5362828,"Germacr-1(10)-ene-5,8-dione"
5364494,"3-Hexadecene, (3Z)-"
5368797,d-alpha-Santalol
5372374,"(4Z,6E)-5-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadien-3-one"
5373727,"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-"
5379348,
5379611,
5469252,4-((Z)-2-(3-Methoxyphenyl)Ethenyl)Phenol
5469424,Demethoxycurcumin
5469426,Demethylcurcumin
5470187,Zerumbone
5484202,Stigmast-4-en-3-one
5809667,
5809936,
5858445,
5876571,
6321405,Isoborneol
6365122,"2-Methyl-6-(4-methyl-3-cyclohexen-1-yl)hepta-2,5-dien-4-one"
6428435,"(2R,5S)-2-methyl-5-(6-methylhept-5-en-2-yl)bicyclo(3.1.0)hexan-2-ol"
6428461,"1-(1,5-Dimethyl-4-hexen-1-yl)-4-methyl-1,4-cyclohexadiene"
6428986,Npc195717
6429032,Npc49026
6429301,(Z)-caryophyllene
6429303,alpha-CIS-BERGAMOTENE
6429340,2-Methyl-6-(4-methylcyclohex-3-en-1-yl)heptan-3-one
6430549,cis-beta-Santalene
6431015,(-)-Cedrene
6431302,Npc57877
6432221,Npc131769
6432312,"Gamma-elemene, (+)-"
6432404,gamma-Cadinene
6432640,"1H-Cycloprop(e)azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1ar-(1aalpha,4aalpha,7beta,7abeta,7balpha))-"
6432706,Npc143639
6436348,Germacrone
6436582,"(1E,6E)-1-methyl-5-methylidene-8-(propan-2-yl)cyclodeca-1,6-diene"
6438157,trans-2-Icosenoic acid
6440365,Yakuchinone B
6441391,"(3S,10S)-3-Isopropyl-6,10-Dimethylcyclodec-6-Ene-1,4-Dione"
6442374,Furanodienon
6445487,Npc177377
6474893,"1,5-Bis(4-Hydroxy-3-Methoxyphenyl)-1,4-Pentadien-3-One"
6506548,Furanodienone
6552009,D-Borneol
6604672,beta-Caryophyllene epoxide
6789251,
6797604,
6850744,Npc14682
6918391,Beta-Elemene
6950274,(+)-Borneol acetate
6973640,(+)-Isoborneol
6993963,"1-p-Tolylethanol, (-)-"
7168192,(-)-Menthofuran
9543187,Npc54264
9548703,Guaiane
